1.000 -0.062 0.159 0.165 0.213 0.164 0.182 0.172 0.066 0.094 0.159 -0.096 
-0.062 1.000 -0.097 0.286 0.098 0.143 0.104 0.115 0.037 0.030 0.116 -0.030 
0.159 -0.097 1.000 -0.041 0.295 0.111 0.154 0.174 0.035 0.106 0.159 -0.090 
0.165 0.286 -0.041 1.000 -0.015 0.356 0.171 0.153 0.158 -0.017 0.152 0.038 
0.213 0.098 0.295 -0.015 1.000 -0.152 0.322 0.303 -0.083 0.210 0.190 -0.251 
0.164 0.143 0.111 0.356 -0.152 1.000 -0.057 0.086 0.271 -0.116 0.086 0.137 
0.182 0.104 0.154 0.171 0.322 -0.057 1.000 0.022 0.088 0.108 0.121 -0.155 
0.172 0.115 0.174 0.153 0.303 0.086 0.022 1.000 -0.131 0.202 0.135 -0.269 
0.066 0.037 0.035 0.158 -0.083 0.271 0.088 -0.131 1.000 -0.309 0.058 0.254 
0.094 0.030 0.106 -0.017 0.210 -0.116 0.108 0.202 -0.309 1.000 0.137 -0.369 
0.159 0.116 0.159 0.152 0.190 0.086 0.121 0.135 0.058 0.137 1.000 -0.234 
-0.096 -0.030 -0.090 0.038 -0.251 0.137 -0.155 -0.269 0.254 -0.369 -0.234 1.000 
