1.00 -0.11 0.20 0.02 -0.01 0.03 0.01 0.03 0.05 0.09 0.08 -0.02
-0.11 1.00 -0.31 0.14 -0.02 0.01 -0.00 0.01 0.02 0.03 0.03 -0.01
0.20 -0.31 1.00 -0.30 0.16 0.02 0.06 0.05 0.07 0.02 0.02 -0.00
0.02 0.14 -0.30 1.00 -0.24 0.14 0.06 0.05 0.07 0.00 0.01 0.00
-0.01 -0.02 0.16 -0.24 1.00 -0.24 0.16 0.04 0.07 -0.01 -0.01 0.01
0.03 0.01 0.02 0.14 -0.24 1.00 -0.18 0.09 0.07 0.00 0.02 -0.00
0.01 -0.00 0.06 0.06 0.16 -0.18 1.00 -0.20 0.13 -0.01 0.03 -0.01
0.03 0.01 0.05 0.05 0.04 0.09 -0.20 1.00 -0.06 0.01 -0.02 -0.01
0.05 0.02 0.07 0.07 0.07 0.07 0.13 -0.06 1.00 -0.19 0.09 -0.06
0.09 0.03 0.02 0.00 -0.01 0.00 -0.01 0.01 -0.19 1.00 0.03 -0.06
0.08 0.03 0.02 0.01 -0.01 0.02 0.03 -0.02 0.09 0.03 1.00 -0.37
-0.02 -0.01 -0.00 0.00 0.01 -0.00 -0.01 -0.01 -0.06 -0.06 -0.37 1.00
