1.00 0.02 0.10 0.39 0.51 0.35 0.58 0.43 0.09 0.10 0.29 -0.15
0.02 1.00 0.55 0.67 0.37 0.46 0.49 0.43 0.08 0.03 0.35 -0.06
0.10 0.55 1.00 0.61 0.60 0.32 0.49 0.53 -0.05 0.30 0.52 -0.21
0.39 0.67 0.61 1.00 0.41 0.78 0.52 0.41 0.34 -0.05 0.47 0.08
0.51 0.37 0.60 0.41 1.00 -0.00 0.78 0.88 -0.36 0.58 0.58 -0.49
0.35 0.46 0.32 0.78 -0.00 1.00 0.28 0.08 0.65 -0.32 0.22 0.27
0.58 0.49 0.49 0.52 0.78 0.28 1.00 0.80 -0.03 0.44 0.41 -0.41
0.43 0.43 0.53 0.41 0.88 0.08 0.80 1.00 -0.30 0.63 0.53 -0.61
0.09 0.08 -0.05 0.34 -0.36 0.65 -0.03 -0.30 1.00 -0.53 -0.01 0.57
0.10 0.03 0.30 -0.05 0.58 -0.32 0.44 0.63 -0.53 1.00 0.35 -0.67
0.29 0.35 0.52 0.47 0.58 0.22 0.41 0.53 -0.01 0.35 1.00 -0.15
-0.15 -0.06 -0.21 0.08 -0.49 0.27 -0.41 -0.61 0.57 -0.67 -0.15 1.00
