1.00 -0.07 0.20 0.02 -0.01 0.03 0.01 0.03 0.05 0.07 0.06 -0.01
-0.07 1.00 -0.28 0.12 -0.02 0.00 -0.01 0.01 0.02 0.02 0.02 -0.01
0.20 -0.28 1.00 -0.29 0.14 0.02 0.05 0.05 0.07 0.02 0.02 -0.01
0.02 0.12 -0.29 1.00 -0.22 0.13 0.06 0.05 0.06 0.00 0.01 0.00
-0.01 -0.02 0.14 -0.22 1.00 -0.23 0.15 0.04 0.06 -0.01 -0.00 0.01
0.03 0.00 0.02 0.13 -0.23 1.00 -0.16 0.08 0.07 0.00 0.02 -0.00
0.01 -0.01 0.05 0.06 0.15 -0.16 1.00 -0.18 0.13 -0.00 0.04 -0.01
0.03 0.01 0.05 0.05 0.04 0.08 -0.18 1.00 -0.04 0.01 -0.01 -0.01
0.05 0.02 0.07 0.06 0.06 0.07 0.13 -0.04 1.00 -0.16 0.10 -0.05
0.07 0.02 0.02 0.00 -0.01 0.00 -0.00 0.01 -0.16 1.00 0.05 -0.05
0.06 0.02 0.02 0.01 0.00 0.02 0.04 -0.01 0.10 0.05 1.00 -0.30
-0.01 -0.01 0.00 0.00 0.01 -0.00 -0.01 -0.01 -0.05 -0.05 -0.30 1.00
