1.000 -0.264 0.140 -0.064 0.167 0.108 0.133 0.056 0.049 0.041 0.034 0.008 0.021 
-0.264 1.000 -0.138 0.339 0.030 0.089 0.089 0.082 0.081 0.066 0.086 0.125 0.084 
0.140 -0.138 1.000 -0.048 0.284 0.229 0.259 0.082 0.142 0.098 0.113 0.128 0.099 
-0.064 0.339 -0.048 1.000 -0.130 0.186 0.136 0.138 0.119 0.103 0.129 0.161 0.096 
0.167 0.030 0.284 -0.130 1.000 0.148 0.450 0.069 0.159 0.111 0.112 0.123 0.084 
0.108 0.089 0.229 0.186 0.148 1.000 0.225 0.129 0.166 0.133 0.112 0.148 0.085 
0.133 0.089 0.259 0.136 0.450 0.225 1.000 -0.117 0.171 0.093 0.125 0.121 0.086 
0.056 0.082 0.082 0.138 0.069 0.129 -0.117 1.000 0.155 0.275 0.107 0.165 0.112 
0.049 0.081 0.142 0.119 0.159 0.166 0.171 0.155 1.000 0.223 0.116 0.164 0.115 
0.041 0.066 0.098 0.103 0.111 0.133 0.093 0.275 0.223 1.000 -0.049 0.141 0.060 
0.034 0.086 0.113 0.129 0.112 0.112 0.125 0.107 0.116 -0.049 1.000 0.070 0.126 
0.008 0.125 0.128 0.161 0.123 0.148 0.121 0.165 0.164 0.141 0.070 1.000 0.008 
0.021 0.084 0.099 0.096 0.084 0.085 0.086 0.112 0.115 0.060 0.126 0.008 1.000 
